id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link
34,3/2/07,Night,NA,United States,US,Virginia,16000,Cherry Hill,3.40765,Unknown,38.6009,-77.2682,"(38.600900000000003, -77.268199999999993)",Landslide,Landslide,Small,Rain,,,,NBC 4 news,http://www.nbc4.com/news/11186871/detail.html
42,3/22/07,,NA,United States,US,Ohio,17288,New Philadelphia,3.33522,,40.5175,-81.4305,"(40.517499999999998, -81.430499999999995)",Landslide,Landslide,Small,Rain,,,,Canton Rep.com,http://www.cantonrep.com/index.php?ID=345054&Category=9&subCategoryID=0
56,4/6/07,,NA,United States,US,Pennsylvania,15930,Wilkinsburg,2.91977,Urban area,40.4377,-79.916,"(40.4377, -79.915999999999997)",Landslide,Landslide,Small,Rain,,,,The Pittsburgh Channel.com,https://web.archive.org/web/20080423132842/http://www.thepittsburghchannel.com/news/11846833/detail.html
59,4/14/07,,NA,Canada,CA,Quebec,42786,Châteauguay,2.98682,Above river,45.3226,-73.7771,"(45.322600000000001, -73.777100000000004)",Landslide,Riverbank collapse,Small,Rain,,,,Le Soleil,http://www.hebdos.net/lsc/edition162007/articles.asp?article_id=166976
61,4/15/07,,NA,United States,US,Kentucky,6903,Pikeville,5.66542,Below road,37.4325,-82.4931,"(37.432499999999997, -82.493099999999998)",Landslide,Landslide,Small,Downpour,,,0,Matthew Crawford (KGS),
64,4/20/07,,NA,United States,US,Kentucky,6903,Pikeville,0.23715,,37.4814,-82.5186,"(37.481400000000001, -82.518600000000006)",Landslide,Landslide,Small,Rain,,,,Applalachain news-express,http://www.news-expressky.com/articles/2007/04/19/top_story/01mudslide.txt
67,4/24/07,,NA,United States,US,South Dakota,2540,Dakota Dunes,2.48033,,42.4941,-96.4576,"(42.494100000000003, -96.457599999999999)",Landslide,Landslide,Small,Rain,,,,Sioux City Journnal,http://www.siouxcityjournal.com/articles/2007/04/25/news/top/02a92f1defdd220f862572c800126dfc.txt
77,5/21/07,,SA,Colombia,CO,Risaralda,440118,Pereira,0.62022,,4.8081,-75.6941,"(4.8080999999999996, -75.694100000000006)",Landslide,Mudslide,Large,Rain,,,13,Reuters - AlertNet.org,http://www.reuters.com/news/video/videoStory?videoId=53594&feedType=RSS&rpc=23
105,6/27/07,,SA,Ecuador,EC,Zamora-Chinchipe,15276,Zamora,0.47714,,-4.065,-78.951,"(-4.0650000000000004, -78.950999999999993)",Landslide,Landslide,Medium,Downpour,,,,Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2908
106,6/27/07,,SA,Ecuador,EC,Loja,117796,Loja,0.35649,,-3.99,-79.205,"(-3.99, -79.204999999999998)",Landslide,Landslide,Medium,Downpour,,,,Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2908
